ICDId;Category;ICD10CODE;DESCRIPTION
7779;N80-N98;N82.8;Other female genital tract fistulae
7780;N80-N98;N82.9;Female genital tract fistula, unspecified
7781;N80-N98;N83;Noninflammatory disorders of ovary, fallopian tube and broad ligament
7782;N80-N98;N83.0;Follicular cyst of ovary
7783;N80-N98;N83.1;Corpus luteum cyst
7784;N80-N98;N83.2;Other and unspecified ovarian cysts
7785;N80-N98;N83.2/0;Ovarian cyst
7786;N80-N98;N83.3;Acquired atrophy of ovary and fallopian tube
7787;N80-N98;N83.4;Prolapse and hernia of ovary and fallopian tube
7788;N80-N98;N83.5;Torsion of ovary, ovarian pedicle and fallopian tube
7789;N80-N98;N83.6;Hematosalpinx,N80-N98
7790;N80-N98;N83.7;Hematoma of broad ligament
7791;N80-N98;N83.8;Other noninflammatory disorders of ovary, fallopian tube and broad ligament
7792;N80-N98;N83.9;Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified
7793;N80-N98;N84;Polyp of female genital tract
7794;N80-N98;N84.0;Polyp of corpus uteri(ENDOMETRIAL POLYP)
7795;N80-N98;N84.1;Polyp of cervix uteri(CERVICAL/ENDOCERVICAL POLYP)
7796;N80-N98;N84.1/0;Endocervical polyp
7797;N80-N98;N84.2;Polyp of vagina
7798;N80-N98;N84.3;Polyp of vulva(PUDENDUM POLYP)
7799;N80-N98;N84.8;Polyp of other parts of female genital tract
7800;N80-N98;N84.9;Polyp of female genital tract, unspecified
7801;N80-N98;N85;Other noninflammatory disorders of uterus, except cervix
7802;N80-N98;N85.0;Endometrial glandular hyperplasia(HYPERPLASIA OF ENDOMETRIUM)(PROLIFERATIVE ENDOMETRIUM)
7803;N80-N98;N85.0/0;Hyperplasia of endometrium
7804;N80-N98;N85.0/1;Proliferative endometrium
7805;N80-N98;N85.1;Endometrial adenomatous hyperplasia
7806;N80-N98;N85.2;Hypertrophy of uterus
7807;N80-N98;N85.3;Subinvolution of uterus
7808;N80-N98;N85.4;Malposition of uterus
7809;N80-N98;N85.5;Inversion of uterus
7810;N80-N98;N85.6;Intrauterine synechiae
7811;N80-N98;N85.7;Hematometra,N80-N98
7812;N80-N98;N85.8;Other specified noninflammatory disorders of uterus(ENDOMETRIAL CYST)(UTERINE CYST)
7813;N80-N98;N85.8/0;Endometrial cyst
7814;N80-N98;N85.8/1;Uterine cyst
7815;N80-N98;N85.9;Noninflammatory disorder of uterus, unspecified
7816;N80-N98;N86;Erosion and ectropion of cervix uteri
7817;N80-N98;N87;Dysplasia of cervix uteri
7818;N80-N98;N87.0;Mild cervical dysplasia
7819;N80-N98;N87.1;Moderate cervical dysplasia
7820;N80-N98;N87.2;Severe cervical dysplasia, not elsewhere classified
7821;N80-N98;N87.9;Dysplasia of cervix uteri, unspecified(CERVICAL/CERVIX UTERINE/EPITHELIAL DYSPLASIA)
7822;N80-N98;N87.9/0;Cervical dysplasia
7823;N80-N98;N87.9/1;Cervix uterine dysplasia
7824;N80-N98;N87.9/2;Epithelial dysplasia
7825;N80-N98;N88;Other noninflammatory disorders of cervix uteri
7826;N80-N98;N88.0;Leukoplakia of cervix uteri
7827;N80-N98;N88.1;Old laceration of cervix uteri
7828;N80-N98;N88.2;Stricture and stenosis of cervix uteri
7829;N80-N98;N88.3;Incompetence of cervix uteri
7830;N80-N98;N88.4;Hypertrophic elongation of cervix uteri
7831;N80-N98;N88.8;Other specified noninflammatory disorders of cervix uteri
7832;N80-N98;N88.9;Noninflammatory disorder of cervix uteri, unspecified
7833;N80-N98;N89;Other noninflammatory disorders of vagina
7834;N80-N98;N89.0;Mild vaginal dysplasia
7835;N80-N98;N89.1;Moderate vaginal dysplasia
7836;N80-N98;N89.2;Severe vaginal dysplasia, not elsewhere classified
7837;N80-N98;N89.3;Dysplasia of vagina, unspecified
7838;N80-N98;N89.4;Leukoplakia of vagina
7839;N80-N98;N89.5;Stricture and atresia of vagina
7840;N80-N98;N89.6;Tight hymenal ring
7841;N80-N98;N89.7;Hematocolpos,N80-N98
7842;N80-N98;N89.8;Other specified noninflammatory disorders of vagina(VAGINAL CYST)
7843;N80-N98;N89.8/0;Vaginal cyst
7844;N80-N98;N89.9;Noninflammatory disorder of vagina, unspecified
7845;N80-N98;N90;Other noninflammatory disorders of vulva and perineum
7846;N80-N98;N90.0;Mild vulvar dysplasia
7847;N80-N98;N90.1;Moderate vulvar dysplasia
7848;N80-N98;N90.2;Severe vulvar dysplasia, not elsewhere classified
7849;N80-N98;N90.3;Dysplasia of vulva, unspecified
7850;N80-N98;N90.4;Leukoplakia,N80-N98
7851;N80-N98;N90.5;Atrophy of vulva
7852;N80-N98;N90.6;Hypertrophy of vulva
7853;N80-N98;N90.7;Vulvar cyst
7854;N80-N98;N90.8;Other specified noninflammatory disorders of vulva and perineum
7855;N80-N98;N90.9;Noninflammatory disorder of vulva and perineum, unspecified
7856;N80-N98;N91;Absent, scanty and rare menstruation
7857;N80-N98;N91.0;Primary amenorrhea
7858;N80-N98;N91.1;Secondary amenorrhea
7859;N80-N98;N91.2;Amenorrhea, unspecified
7860;N80-N98;N91.3;Primary oligomenorrhea
7861;N80-N98;N91.4;Secondary oligomenorrhea
7862;N80-N98;N91.5;Oligomenorrhea, unspecified
7863;N80-N98;N92;Excessive, frequent and irregular menstruation
7864;N80-N98;N92.0;Excessive and frequent menstruation with regular cycle
7865;N80-N98;N92.1;Excessive and frequent menstruation with irregular cycle
7866;N80-N98;N92.2;Excessive menstruation at puberty
7867;N80-N98;N92.3;Ovulation bleeding
7868;N80-N98;N92.4;Excessive bleeding in the premenopausal period
7869;N80-N98;N92.5;Other specified irregular menstruation
7870;N80-N98;N92.6;Irregular menstruation, unspecified(UTERINE BLEEDING)
7871;N80-N98;N93;Other abnormal uterine and vaginal bleeding
7872;N80-N98;N93.0;Postcoital and contact bleeding
7873;N80-N98;N93.0/0;Postcoital bleeding
7874;N80-N98;N93.8;Other specified abnormal uterine and vaginal bleeding(DYSFUNCTIONAL UTERINE BLEEDING)
7875;N80-N98;N93.8/0;Dysfunctional Uterine Bleeding (DUB)
7876;N80-N98;N93.8/1;Uterine bleeding not due to menstruation
7877;N80-N98;N93.9;Abnormal uterine and vaginal bleeding, unspecified(UTERINE BLEEDING/HEMORRHAGE, NOT DUE TO MENSTRUATION)(DYSFUNCTIONAL UTERINE BLEEDING, DUB)
7878;N80-N98;N93.9/0;Uterine bleeding
7879;N80-N98;N93.9/1;Uterine hemorrhage not due to menstruation
7880;N80-N98;N94;Pain and other conditions associated with female genital organs and menstrual cycle
7881;N80-N98;N94.0;Mittelschmerz,N80-N98
7882;N80-N98;N94.1;Dyspareunia,N80-N98
7883;N80-N98;N94.2;Vaginismus,N80-N98
7884;N80-N98;N94.3;Premenstrual tension syndrome(MENSTRUAL MIGRAINE)
7885;N80-N98;N94.3/0;Menstrual migraine
7886;N80-N98;N94.4;Primary dysmenorrhea
7887;N80-N98;N94.5;Secondary dysmenorrhea
7888;N80-N98;N94.6;Dysmenorrhea, unspecified
7889;N80-N98;N94.8;Other specified conditions associated with female genital organs and menstrual cycle
7890;N80-N98;N94.9;Unspecified condition associated with female genital organs and menstrual cycle
7891;N80-N98;N95;Menopausal and other perimenopausal disorders
7892;N80-N98;N95.0;Postmenopausal bleeding (PMB)
7893;N80-N98;N95.1;Menopausal and female climacteric states
7894;N80-N98;N95.2;Postmenopausal atrophic vaginitis
7895;N80-N98;N95.3;States associated with artificial menopause
7896;N80-N98;N95.8;Other specified menopausal and perimenopausal disorders
7897;N80-N98;N95.9;Menopausal and perimenopausal disorder, unspecified
7898;N80-N98;N96;Habitual aborter
7899;N80-N98;N97;Female infertility
7900;N80-N98;N97.0;Female infertility associated with anovulation
7901;N80-N98;N97.1;Female infertility of tubal origin
7902;N80-N98;N97.2;Female infertility of uterine origin
7903;N80-N98;N97.3;Female infertility of cervical origin
7904;N80-N98;N97.4;Female infertility associated with male factors
7905;N80-N98;N97.8;Female infertility of other origin
7906;N80-N98;N97.9;Female infertility, unspecified
7907;N80-N98;N98;Complications associated with artificial fertilization
7908;N80-N98;N98.0;Infection associated with artificial insemination
7909;N80-N98;N98.1;Hyperstimulation of ovaries
7910;N80-N98;N98.2;Complications of attempted introduction of fertilized ovum following in vitro fertilization
7911;N80-N98;N98.3;Complications of attempted introduction of embryo in embryo transfer
7912;N80-N98;N98.8;Other complications associated with artificial fertilization
7913;N80-N98;N98.9;Complication associated with artificial fertilization, unspecified
7914;N99;N99;Intraoperative complications and postprocedural disorders of genitourinary system, not elsewhere classified
7915;N99;N99.0;Postprocedural renal failure
7916;N99;N99.1;Postprocedural urethral stricture
7917;N99;N99.2;Postoperative adhesions of vagina
7918;N99;N99.3;Prolapse of vaginal vault after hysterectomy
7919;N99;N99.4;Postprocedural pelvic peritoneal adhesions
7920;N99;N99.5;Complications of stoma of urinary tract
7921;N99;N99.8;Other postprocedural disorders of the genitourinary system
7922;N99;N99.9;Postprocedural disorder of the genitourinary system, unspecified
7923;O00-O08;O00;Ectopic pregnancy
7924;O00-O08;O00.0;Abdominal pregnancy
7925;O00-O08;O00.1;Tubal pregnancy
7926;O00-O08;O00.2;Ovarian pregnancy
7927;O00-O08;O00.8;Other ectopic pregnancy
7928;O00-O08;O00.9;Ectopic pregnancy, unspecified
7929;O00-O08;O01;Hydatidiform mole
7930;O00-O08;O01.0;Classical hydatidiform mole
7931;O00-O08;O01.1;Incomplete and partial hydatidiform mole
7932;O00-O08;O01.9;Hydatidiform mole, unspecified
7933;O00-O08;O02;Other abnormal products of conception
7934;O00-O08;O02/.7;Threatened Abortion
7935;O00-O08;O02.0;Blighted ovum and nonhydatidiform mole(THREATENED ABORTION)
7936;O00-O08;O02.0/0;Blighted Ovum
7937;O00-O08;O02.1;Missed abortion
7938;O00-O08;O02.8;Other specified abnormal products of conception
7939;O00-O08;O02.9;Abnormal product of conception, unspecified
7940;O00-O08;O03;Spontaneous abortion
7941;O00-O08;O03.90;Imminent Abortion
7942;O00-O08;O03.91;Inevitable Abortion
7943;O00-O08;O03.99;Non-induced Abortion
7944;O00-O08;O03.99/0;Spontaneous Abortion
7945;O00-O08;O04;Medical abortion
7946;O00-O08;O05;Other abortion
7947;O00-O08;O06;Unspecified abortion
7948;O00-O08;O06.0;ABORTION (INCOMPLETE, COMPLICATED BY GENERAL TRACT AND PELVIC INFECTION)
7949;O00-O08;O06.1;ABORTION (INCLOMPLETE, COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE)
7950;O00-O08;O06.2;ABORTION (INCOMPLETE COMPLICATED BY EMBOLISM)
7951;O00-O08;O06.3;ABORTION (INCOMPLETE WITH OTHER AND UNSPECIFIED COMPLICATIONS)
7952;O00-O08;O06.4;ABORTION (INCOMPLETE, WITHOUT COMPLICATION)
7953;O00-O08;O06.5;ABORTION (COMPLETE OR UNSPECIFIED, COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION)
7954;O00-O08;O06.6;ABORTION (COMPLETE OR UNSPECIFIED, COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE)
7955;O00-O08;O06.7;ABORTION (COMPLETE OR UNSPECIFIED, COMPLICATED BY EMBOLISM)
7956;O00-O08;O06.8;ABORTION (COMPLETE OR UNSPECIFIED, WITH OTHER AND UNSPECIFIED COMPLICATIONS)
7957;O00-O08;O06.9;ABORTION (COMPLETE OR UNSPECIFIED, WITHOUT COMPLICATION, INDUCED ABORTION)
7958;O00-O08;O06.9/0;Induced Abortion
7959;O00-O08;O06.9/1;Abortion,O00-O08
7960;O00-O08;O07;Failed attempted abortion
7961;O00-O08;O07.0;Failed medical abortion, complicated by genital tract and pelvic infection
7962;O00-O08;O07.1;Failed medical abortion, complicated by delayed or excessive hemorrhage
7963;O00-O08;O07.2;Failed medical abortion, complicated by embolism
7964;O00-O08;O07.3;Failed medical abortion, with other and unspecified complications
7965;O00-O08;O07.4;Failed medical abortion, without complication
7966;O00-O08;O07.5;Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection
7967;O00-O08;O07.6;Other and unspecified failed attempted abortion, complicated by delayed or excessive hemorrhage
7968;O00-O08;O07.7;Other and unspecified failed attempted abortion, complicated by embolism
7969;O00-O08;O07.8;Other and unspecified failed attempted abortion, with other and unspecified complications
7970;O00-O08;O07.9;Other and unspecified failed attempted abortion, without complication
7971;O00-O08;O08;Complications following ectopic and molar pregnancy
7972;O00-O08;O08.0;Genital tract and pelvic infection following and ectopic and molar pregnancy(PELVIC INFLAMMATORY DISEASE FLOWING ABORTION)
7973;O00-O08;O08.0/0;Pelvic inflammatory disease following abortion
7974;O00-O08;O08.1;Delayed or excessive hemorrhage following and ectopic and molar pregnancy
7975;O00-O08;O08.2;Embolism following and ectopic and molar pregnancy
7976;O00-O08;O08.3;Shock following and ectopic and molar pregnancy
7977;O00-O08;O08.4;Renal failure following and ectopic and molar pregnancy
7978;O00-O08;O08.5;Metabolic disorders following and ectopic and molar pregnancy(ELECTROLYTE IMBALANCE FOLLOWING ABORTION)
7979;O00-O08;O08.5/0;Electrolyte imbalance following abortion
7980;O00-O08;O08.6;Damage to pelvic organs and tissues following and ectopic and molar pregnancy
7981;O00-O08;O08.7;Other venous complications following and ectopic and molar pregnancy
7982;O00-O08;O08.8;Other complications following and ectopic and molar pregnancy
7983;O00-O08;O08.9;Complication following and ectopic and molar pregnancy, unspecified
7984;O10-O16;O10;Pre-existing hypertension complicating pregnancy, childbirth and the puerperium
7985;O10-O16;O10.0;Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium
7986;O10-O16;O10.1;Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium
7987;O10-O16;O10.2;Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium
7988;O10-O16;O10.3;Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium
7989;O10-O16;O10.4;Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium
7990;O10-O16;O10.9;Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium
7991;O10-O16;O11;Pre-existing hypertensive disorder with superimposed proteinuria
7992;O10-O16;O12;Gestational [pregnancy-induced] edema and proteinuria without hypertension
7993;O10-O16;O12.0;Gestational edema
7994;O10-O16;O12.1;Gestational proteinuria
7995;O10-O16;O12.2;Gestational edema with proteinuria
7996;O10-O16;O13;Gestational [pregnancy-induced] hypertension without significant proteinuria
7997;O10-O16;O14;Gestational [pregnancy-induced] hypertension with significant proteinuria
7998;O10-O16;O14.0;Moderate pre-eclampsia
7999;O10-O16;O14.1;Severe pre-eclampsia
8000;O10-O16;O14.9;Pre-eclampsia, unspecified(CAESAREAN DELIVERY DUE TO PRE-ECLAMPSIA)
8001;O10-O16;O14.9/0;Cesarean delivery due to pre- eclampsia
8002;O10-O16;O15;Eclampsia,O10-O16
8003;O10-O16;O15.0;Eclampsia in pregnancy
8004;O10-O16;O15.1;Eclampsia in labor(CAESAREAN DEL. DUE TO ECLAMPSIA IN LABOR)
8005;O10-O16;O15.1/0;Cesarean delivery due to eclampsia in labor
8006;O10-O16;O15.1/1;Eclampsia in labor
8007;O10-O16;O15.2;Eclampsia in the puerperium
8008;O10-O16;O15.2/0;Eclampsia in puerperium
8009;O10-O16;O15.9;Eclampsia, unspecified as to time period
8010;O10-O16;O15.91/0;Eclampsia,O10-O16
8011;O10-O16;O16;Unspecified maternal hypertension
8012;O20-O29;O20;Hemorrhage in early pregnancy
8013;O20-O29;O20.0;Threatened abortion
8014;O20-O29;O20.8;Other hemorrhage in early pregnancy
8015;O20-O29;O20.9;Hemorrhage in early pregnancy, unspecified
8016;O20-O29;O21;Excessive vomiting in pregnancy
8017;O20-O29;O21.0;Mild hyperemesis gravidarum, BEFORE THE END OF 22 WEEKS
8018;O20-O29;O21.0/0;Hyperemesis Gravidarum
8019;O20-O29;O21.0/1;Hyperemesis gravidarum, mild, before the end of 22nd week of gestation
8020;O20-O29;O21.1;Hyperemesis gravidarum with metabolic disturbance
8021;O20-O29;O21.2;Late vomiting of pregnancy(HYPEREMESIS GRAVIDARUM, AFTER THE END OF 22 WEEKS)
8022;O20-O29;O21.2/0;Hyperemesis gravidarum, after the end of 22nd week of gestation
8023;O20-O29;O21.8;Other vomiting complicating pregnancy
8024;O20-O29;O21.9;Vomiting of pregnancy, unspecified
8025;O20-O29;O22;Venous complications in pregnancy
8026;O20-O29;O22.0;Varicose veins of lower extremity in pregnancy
8027;O20-O29;O22.1;Genital varices in pregnancy
8028;O20-O29;O22.2;Superficial thrombophlebitis in pregnancy
8029;O20-O29;O22.3;Deep phlebothrombosis in pregnancy
8030;O20-O29;O22.4;Hemorrhoids in pregnancy
8031;O20-O29;O22.5;Cerebral venous thrombosis in pregnancy
8032;O20-O29;O22.8;Other venous complications in pregnancy
8033;O20-O29;O22.9;Venous complication in pregnancy, unspecified
8034;O20-O29;O23;Infections of genitourinary tract in pregnancy
8035;O20-O29;O23.0;Infections of kidney in pregnancy(PYELONEPHRITIS COMPLICATING PREGNANCY)
8036;O20-O29;O23.0/0;Pyelonephritis complicating pregnancy
8037;O20-O29;O23.1;Infections of bladder in pregnancy
8038;O20-O29;O23.2;Infections of urethra in pregnancy
8039;O20-O29;O23.3;Infections of other parts of urinary tract in pregnancy
8040;O20-O29;O23.4;Unspecified infection of urinary tract in pregnancy
8041;O20-O29;O23.5;Infections of the genital tract in pregnancy(PELVIC INFLAMMATORY DISEASE COMPLICATING PREGNANCY)
8042;O20-O29;O23.5/0;Pelvic inflammatory disease complicating pregnancy
8043;O20-O29;O23.9;Other and unspecified genitourinary tract infection in pregnancy
8044;O20-O29;O24;Diabetes mellitus in pregnancy
8045;O20-O29;O24.0;Pre-existing diabetes mellitus, insullin-dependent
8046;O20-O29;O24.1;Pre-existing diabetes mellitus, non-insulin-dependent
8047;O20-O29;O24.2;Pre-existing malnutrition-related diabetes mellitus
8048;O20-O29;O24.3;Pre-existing diabetes mellitus, unspecified
8049;O20-O29;O24.4;Diabetes mellitus arising in pregnancy
8050;O20-O29;O24.9;Diabetes mellitus in pregnancy, unspecified
8051;O20-O29;O25;Malnutrition in pregnancy
8052;O20-O29;O26;Maternal care for other conditions predominantly related to pregnancy
8053;O20-O29;O26.0;Excessive weight gain in pregnancy
8054;O20-O29;O26.1;Low weight gain in pregnancy
8055;O20-O29;O26.2;Pregnancy care of habitual aborter
8056;O20-O29;O26.3;Retained intrauterine contraceptive device in pregnancy
8057;O20-O29;O26.4;Herpes gestationis
8058;O20-O29;O26.5;Maternal hypotension syndrome
8059;O20-O29;O26.6;Liver disorders in pregnancy, childbirth and the puerperium
8060;O20-O29;O26.7;Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium
8061;O20-O29;O26.8;Other specified pregnancy-related conditions
8062;O20-O29;O26.9;Pregnancy-related condition, unspecified
8063;O20-O29;O28;Abnormal findings on antenatal screening of mother
8064;O20-O29;O28.0;Abnormal hematological finding on antenatal screening of mother
8065;O20-O29;O28.1;Abnormal biochemical finding on antenatal screening of mother
8066;O20-O29;O28.2;Abnormal cytological finding on antenatal screening of mother
8067;O20-O29;O28.3;Abnormal ultrasonic finding on antenatal screening of mother
8068;O20-O29;O28.4;Abnormal radiological finding on antenatal screening of mother
8069;O20-O29;O28.5;Abnormal chromosomal and genetic finding on antenatal screening of mother
8070;O20-O29;O28.8;Other abnormal findings on antenatal screening of mother
8071;O20-O29;O28.9;Abnormal finding on antenatal screening of mother, unspecified
8072;O20-O29;O29;Complications of anesthesia during pregnancy
8073;O20-O29;O29.0;Pulmonary complications of anaesthesia during pregnancy
8074;O20-O29;O29.1;Cardiac complications of anesthesia during pregnancy
8075;O20-O29;O29.2;Central nervous system complications of anesthesia during pregnancy
8076;O20-O29;O29.3;Toxic reaction to local anesthesia during pregnancy
8077;O20-O29;O29.4;Spinal and epidural anaesthesia-induced headache during pregnancy
8078;O20-O29;O29.5;Other complications of spinal and epidural anaesthesia during pregnancy
8079;O20-O29;O29.6;Failed or difficult intubation during pregnancy
8080;O20-O29;O29.8;Other complications of anaesthesia during pregnancy
8081;O20-O29;O29.9;Complications of anesthesia during pregnancy, unspecified
8082;O00-O08;O29.0;Pulmonary complications of anaesthesia during pregnancy
8083;O00-O08;O29.1;Cardiac complications of anesthesia during pregnancy
8084;O00-O08;O29.2;Central nervous system complications of anesthesia during pregnancy
8085;O00-O08;O29.3;Toxic reaction to local anesthesia during pregnancy
8086;O00-O08;O29.4;Spinal and epidural anaesthesia-induced headache during pregnancy
8087;O00-O08;O29.5;Other complications of spinal and epidural anaesthesia during pregnancy
8088;O00-O08;O29.6;Failed or difficult intubation during pregnancy
8089;O00-O08;O29.8;Other complications of anaesthesia during pregnancy
8090;O00-O08;O29.9;Complications of anesthesia during pregnancy, unspecified
8091;O30-O48;O30;Multiple gestation
8092;O30-O48;O30.0;Twin pregnancy
8093;O30-O48;O30.1;Triplet pregnancy
8094;O30-O48;O30.2;Quadruplet pregnancy
8095;O30-O48;O30.8;Other multiple gestation
8096;O30-O48;O30.9;Multiple gestation, unspecified
8097;O30-O48;O31;Complications specific to multiple gestation
8098;O30-O48;O31.0;Papyraceous fetus
8099;O30-O48;O31.1;Continuing pregnancy after spontaneous abortion of one fetus or more
8100;O30-O48;O31.2;Continuing pregnancy after intrauterine death of one fetus or more
8101;O30-O48;O31.8;Other complications specific to multiple gestation
8102;O30-O48;O32;Maternal care for known or suspected malpresentation of fetus
8103;O30-O48;O32.0;Maternal care for unstable lie
8104;O30-O48;O32.1;Maternal care for breech presentation(ELECTIVE CAESAREAN DEL. DUE TO BREECH PRESENTATION)
8105;O30-O48;O32.1/0;Elective cesarean delivery due to breech presentation
8106;O30-O48;O32.2;Maternal care for transverse and oblique lie
8107;O30-O48;O32.3;Maternal care for face, brow and chin presentation(ELECTIVE CAESAREAN DELIVERY DUE TO TRANSVERSE LIE OR PRESENTATION)
8108;O30-O48;O32.3/0;Elective cesarean delivery due to transverse lie or presentation
8109;O30-O48;O32.4;Maternal care for high head at term(ELECTIVE CAESAREAN DELIVERY DUE TO FAILURE IN DESCENT)
8110;O30-O48;O32.4/0;Elective cesarean delivery due to failure in descent
8111;O30-O48;O32.5;Maternal care for multiple gestation with malpresentation of one fetus or more
8112;O30-O48;O32.6;Maternal care for compound presentation
8113;O30-O48;O32.8;Maternal care for other malpresentation of fetus
8114;O30-O48;O32.9;Maternal care for malpresentation of fetus, unspecified(ELECTIVE CAESAREAN DELIVERY DUE TO MALPRESENTATION)
8115;O30-O48;O32.9/0;Elective cesarean delivery due to malpresentation
8116;O30-O48;O33;Maternal care for known or suspecte disproportion
8117;O30-O48;O33.0;Maternal care for disproportion due to deformity of maternal pelvic bones
8118;O30-O48;O33.1;Maternal care for disproportion due to generally contracted pelvis
8119;O30-O48;O33.2;Maternal care for disproportion due to inlet contraction of pelvis
8120;O30-O48;O33.3;Maternal care for disproportion due to outlet contraction of pelvis
8121;O30-O48;O33.4;Maternal care for disproportion of mixed maternal and fetal origin
8122;O30-O48;O33.5;Maternal care for disproportion due to unusually large fetus
8123;O30-O48;O33.6;Maternal care for disproportion due to hydrocephalic fetus
8124;O30-O48;O33.7;Maternal care for disproportion due to other fetal deformities
8125;O30-O48;O33.8;Maternal care for disproportion of other origin
8126;O30-O48;O33.9;Maternal care for disproportion, unspecified(ELECTIVE CAESAREAN DELIVERY DUE TO CEPHALO-PELVIC DISPROPORTION, CPD)
8127;O30-O48;O33.9/0;Elective cesarean delivery due to Cephalopelvic Disproportion (CPD)
8128;O30-O48;O34;Maternal care for abnormality of pelvic organs
8129;O30-O48;O34.0;Maternal care for congenital malformation of uterus
8130;O30-O48;O34.1;Maternal care for benign tumor of corpus uteri
8131;O30-O48;O34.2;Maternal care due to uterine scar from previous surgery(REPEAT CAESAREAN DELIVERY)
8132;O30-O48;O34.2/0;Repeat cesarean delivery
8133;O30-O48;O34.3;Maternal care for cervical incompetence
8134;O30-O48;O34.4;Maternal care for other abnormalities of cervix
8135;O30-O48;O34.5;Maternal care for other abnormalities of gravid uterus
8136;O30-O48;O34.6;Maternal care for abnormality of vagina
8137;O30-O48;O34.7;Maternal care for abnormality of vulva and perineum
8138;O30-O48;O34.8;Maternal care for other abnormalities of pelvic organs
8139;O30-O48;O34.9;Maternal care for abnormality of pelvic organ, unspecified
8140;O30-O48;O35;Maternal care for known or suspected fetal abnormality and damage
8141;O30-O48;O35.0;Maternal care for (suspected) central nervous system malformation in fetus
8142;O30-O48;O35.1;Maternal care for (suspected) chromosomal abnormality in fetus
8143;O30-O48;O35.2;Maternal care for (suspected) hereditary disease in fetus
8144;O30-O48;O35.3;Maternal care for (suspected) damage to fetus from viral disease in mother
8145;O30-O48;O35.4;Maternal care for (suspected) damage to fetus from alcohol
8146;O30-O48;O35.5;Maternal care for (suspected) damage to fetus by drugs
8147;O30-O48;O35.6;Maternal care for (suspected) damage to fetus by radiation
8148;O30-O48;O35.7;Maternal care for (suspected) damage to fetus by other medical procedures
8149;O30-O48;O35.8;Maternal care for other (suspected) fetal abnormality and damage
8150;O30-O48;O35.9;Maternal care for (suspected) fetal abnormality and damage, unspecified
8151;O30-O48;O36;Maternal care for other known or suspected fetal problems
8152;O30-O48;O36.0;Maternal care for rhesus isoimmunization
8153;O30-O48;O36.1;Maternal care for other isoimmunization
8154;O30-O48;O36.2;Maternal care for hydrops fetalis
8155;O30-O48;O36.3;Maternal care for signs of fetal hypoxia(ELECTIVE CAESAREAN DELIVERY DUE TO MECONIUM STAINED BABY)
8156;O30-O48;O36.3/0;Elective cesarean delivery due to meconium stained baby
8157;O30-O48;O36.4;Maternal care for intrauterine death
8158;O30-O48;O36.5;Maternal care for poor fetal growth
8159;O30-O48;O36.6;Maternal care for excessive fetal growth
8160;O30-O48;O36.7;Maternal care for viable fetus in abdominal pregnancy
8161;O30-O48;O36.8;Maternal care for other specified fetal problems
8162;O30-O48;O36.9;Maternal care for fetal problem, unspecified
8163;O30-O48;O40;Polyhydramnios,O30-O48
8164;O30-O48;O41;Other disorders of amniotic fluid and membranes
8165;O30-O48;O41.0;Oligohydramnios,O30-O48
8166;O30-O48;O41.1;Infection of amniotic sac and membranes
8167;O30-O48;O41.8;Other specified disorders of amniotic fluid and membranes
8168;O30-O48;O41.9;Disorder of amniotic fluid and membranes, unspecified
8169;O30-O48;O42;Premature rupture of membranes
8170;O30-O48;O42.0;Premature rupture of membranes, onset of labor within 24 hours of rupture
8171;O30-O48;O42.1;Premature rupture of membranes, onset of labor after 24 hours following rupture
8172;O30-O48;O42.2;Premature rupture of membranes, labour delayed by therapy
8173;O30-O48;O42.9;Premature rupture of membranes, unspecified
8174;O30-O48;O43;Placental disorders
8175;O30-O48;O43.0;Placental transfusion syndromes
8176;O30-O48;O43.1;Malformation of placenta
8177;O30-O48;O43.8;Other placental disorders
8178;O30-O48;O43.9;Placental disorder, unspecified
8179;O30-O48;O44;Placenta previa
8180;O30-O48;O44.0;Placenta previa specified as without hemorrhage(CAESAREAN DELIVERY DUE TO PLACENTA PREVIA WITHOUT HEMORRHAGE)
8181;O30-O48;O44.0/0;Cesarean delivery due to placenta previa without hemorrhage
8182;O30-O48;O44.1;Placenta previa with hemorrhage(CAESAREAN DELIVERY DUE TO PLACENTA PREVIA WITH HEMORRHAGE)
8183;O30-O48;O44.1/0;Cesarean delivery due to placenta previa with hemorrhage
8184;O30-O48;O45;Premature separation of placenta [abruptio placentae]
8185;O30-O48;O45.0;Premature separation of placenta with coagulation defect
8186;O30-O48;O45.8;Other premature separation of placenta
8187;O30-O48;O45.9;Premature separation of placenta, unspecified(CAESAREAN DELIVERY DUE TO ABRUPTIO PLACENTAE)
8188;O30-O48;O45.9/0;Abruptio Placenta
8189;O30-O48;O45.9/1;Cesarean delivery due to abruptio placenta
